Powiat;parki, zieleńce i tereny zieleni osiedlowej;Bezrobotność w % ludności aktywnej zawodowo, pozostający bez pracy dłużej niż rok;zarejestrowani bezrobotni na 1 ofertę pracy;podmioty wpisane do rejestru REGON na 10 tys. ludności;uczniowie na 1 pomieszczenie szkolne w szkołąch podstawowych;uczestnicy imprez kulturalnych na 1000 ludności;lekarze na 10 tys. ludności;miejsca w placówkach stacjonarnej pomocy społecznej na 10 tys. ludności;ludność korzystająca z sieci kanalizacyjnej (% ludności ogółem);mieszkania oddane do użytku na 1000 zawartych małżeństw;ścieżki rowerowe na 10 tys. ludności (w km);zgony niemowląt na 1000 urodzeń żywych;ludność w tysiącach (pomocnicze dla przekształceń);ludność korzystająca z sieci kanalizacyjnej
Powiat bocheński;51,50;0,3;7,11;1 833,1;16;103 042;26,2;32,9;61,26040206;1390;5,43;3,14;106,95;65518
Powiat brzeski;22,11;0,6;12,26;1 707,6;15;140 615;24,4;45,7;41,59921457;1089;5,86;;91,67;38134
Powiat chrzanowski;227,92;0,9;8,12;2 013,6;17;165 396;36,6;21,2;66,82254803;850;3,4;1,46;118,68;79305
Powiat dąbrowski;11,36;1,4;27,31;1 247,5;15;25 462;19,3;18,2;44,83405734;728;6,31;2,17;57,55;25802
Powiat gorlicki;55,70;0,8;24,01;1 514,0;15;82 906;28,1;30,2;59,85377896;781;2,79;1,2;105,32;63038
Powiat krakowski;89,14;0,6;8,33;2 322,8;17;124 735;22,6;32,5;60,40152142;1341;2,29;;302,35;182624
Powiat limanowski;16,56;0,8;19,75;1 701,4;16;53 492;17,5;33,6;41,90049373;734;0,49;2,67;131,65;55162
Powiat miechowski;30,31;0,6;20,15;1 969,1;16;11 580;38,6;79,1;28,63509749;937;4,74;4,48;46,67;13364
Powiat myślenicki;35,84;0,4;9,55;2 098,8;17;238 100;24;39,4;60,99892175;1258;1,92;2,91;129,84;79201
Powiat nowosądecki;407,03;0,8;24,48;1 655,2;15;310 643;13,5;17,1;52,24852346;998;3,21;5,21;215,03;112350
Powiat nowotarski;96,97;0,7;9,48;1 844,9;15;176 126;24,5;22,5;63,06717164;1190;6,32;3,85;190,11;119897
Powiat olkuski;103,42;0,6;19,03;2 222,3;16;127 891;30,9;43,6;58,98866856;1033;0,98;3,48;105,9;62469
Powiat oświęcimski;203,25;0,7;13,73;1 916,7;17;230 111;27;27,3;67,67012532;1239;3,68;4,86;148,42;100436
Powiat proszowicki;8,03;1,1;11,46;1 843,9;16;13 944;29,3;41,7;36,86265175;690;3,33;;42,01;15486
Powiat suski;16,94;0,7;10,3;1 961,9;16;87 789;24,3;25,3;44,08010616;825;0,58;2,14;82,89;36538
Powiat tarnowski;21,00;1,1;17,1;1 435,9;14;163 159;10,7;44,7;55,29694943;1154;5,52;2,9;197,34;109123
Powiat tatrzański;44,94;0,5;39,7;3 233,0;16;40 240;45,9;32,2;65,83032491;1725;1,23;2,69;66,48;43764
Powiat wadowicki;69,17;0,6;18,77;2 085,3;17;99 691;17,8;32,1;53,40064774;1163;1,83;1,8;157,47;84090
Powiat wielicki;86,15;0,3;5,96;2 361,4;17;66 873;19;27,9;53,36489591;2621;2,68;3,24;143,63;76648
Powiat m. Kraków;2 092,82;0,2;5,18;3 590,6;18;1 151 583;123;37;92,69387249;2065;3,95;3,3;806,2;747298
Powiat m. Nowy Sącz;87,65;0,5;18,92;2 454,6;19;259 227;48,3;52,9;86,90642111;1384;4,7;3,06;80,36;69838
Powiat m. Tarnów;180,84;0,7;5,76;2 233,8;17;129 982;78;56,2;88,24881218;952;7,46;1,55;103,13;91011
